Time,Temperature,Pressure,Sound,Light,Pressure,Humidity,Comment
s,°C,kPa,dBA,lx,kPa,%RH,

321.6,35.0,100.5,46.5,111,97.18,57.9,
322.56,35.0,100.5,68.8,86,97.17,57.9,
323.52,35.0,100.5,42.7,100,97.17,57.9,
324.48,35.0,100.5,72.3,113,97.20,57.9,
325.44,35.0,100.7,67.3,137,97.16,57.8,
326.4,35.0,100.7,67.0,149,97.17,57.8,
327.36,35.0,100.7,40.0,152,97.16,57.8,
328.32,35.0,100.7,53.4,153,97.16,57.8,
329.28,35.0,100.7,40.0,154,97.18,57.8,
330.24,35.0,100.7,60.4,155,97.17,57.8,
331.2,35.0,100.7,53.5,155,97.18,57.8,
332.16,35.0,100.7,40.0,155,97.18,57.8,
333.12,35.0,100.7,40.0,155,97.16,57.8,
334.08,35.0,100.9,60.5,155,97.18,57.8,
335.04,35.0,100.7,68.0,155,97.16,57.8,
336,35.0,100.9,40.0,155,97.15,57.8,
336.96,35.0,100.9,40.0,155,97.17,57.8,
337.92,35.0,100.9,65.3,155,97.15,57.8,
338.88,35.0,100.9,65.0,155,97.15,57.8,
339.84,35.0,100.9,74.3,155,97.17,57.8,
340.8,35.0,100.9,68.0,155,97.16,57.8,
341.76,35.1,100.9,65.2,155,97.15,57.8,
342.72,35.1,100.9,76.1,155,97.15,57.8,
343.68,35.1,100.9,62.2,155,97.16,57.8,
344.64,35.1,100.9,62.7,155,97.16,57.8,
345.6,35.1,100.9,65.2,155,97.16,57.8,
346.56,35.1,101.1,55.9,155,97.14,57.8,
347.52,35.1,101.1,40.0,155,97.18,57.7,
348.48,35.1,101.1,66.2,155,97.18,57.7,
349.44,35.1,101.1,40.0,155,97.15,57.7,
350.4,35.1,101.1,40.0,155,97.14,57.7,
351.36,35.1,101.1,67.4,155,97.14,57.7,
352.32,35.1,101.1,55.2,155,97.19,57.7,
353.28,35.1,101.1,65.7,155,97.17,57.7,
354.24,35.1,101.1,66.5,155,97.19,57.7,
355.2,35.1,101.1,54.2,155,97.16,57.7,
356.16,35.1,101.1,46.6,155,97.18,57.7,
357.12,35.1,101.3,66.8,155,97.14,57.7,
358.08,35.1,101.3,68.4,155,97.17,57.7,
359.04,35.1,101.3,49.6,155,97.18,57.7,
360,35.1,101.3,63.0,155,97.20,57.7,
360.96,35.1,101.3,53.9,154,97.18,57.7,
361.92,35.1,101.3,58.2,154,97.17,57.7,
362.88,35.1,101.3,40.0,153,97.16,57.7,
363.84,35.1,101.3,69.6,151,97.15,57.6,
364.8,35.1,101.3,40.9,152,97.19,57.6,
365.76,35.1,101.3,40.0,152,97.14,57.6,
366.72,35.2,101.3,40.0,152,97.16,57.6,
367.68,35.2,101.5,76.5,145,97.16,57.6,
368.64,35.2,101.5,65.0,132,97.17,57.6,
369.6,35.2,101.5,40.0,105,97.14,57.6,
370.56,35.2,101.5,74.1,88,97.15,57.6,
371.52,35.2,101.5,40.0,96,97.16,57.6,
372.48,35.2,101.5,49.0,107,97.15,57.6,
373.44,35.2,101.5,59.6,121,97.16,57.6,
374.4,35.2,101.5,66.8,146,97.18,57.6,
375.36,35.2,101.5,48.7,152,97.16,57.6,
376.32,35.2,101.5,77.0,153,97.16,57.6,
377.28,35.2,101.6,74.4,153,97.15,57.6,
378.24,35.2,101.6,43.4,153,97.18,57.6,
379.2,35.2,101.6,63.5,153,97.18,57.6,
380.16,35.2,101.6,66.4,153,97.16,57.6,
381.12,35.2,101.6,40.0,153,97.18,57.6,
382.08,35.2,101.6,76.9,153,97.18,57.6,
383.04,35.2,101.6,63.5,153,97.17,57.6,
384,35.2,101.6,40.0,153,97.16,57.6,
384.96,35.2,101.6,49.5,153,97.15,57.6,
385.92,35.2,101.6,65.0,154,97.16,57.6,
386.88,35.3,101.6,53.4,154,97.21,57.6,
387.84,35.3,101.6,40.0,154,97.16,57.6,
388.8,35.3,101.6,73.9,153,97.11,57.6,
389.76,35.3,101.6,80.5,152,97.15,57.6,
390.72,35.3,101.8,61.8,152,97.17,57.6,
391.68,35.3,101.8,40.0,152,97.16,57.5,
392.64,35.3,101.8,68.6,152,97.19,57.5,
393.6,35.3,101.8,53.0,152,97.16,57.5,
394.56,35.3,101.8,40.0,151,97.18,57.5,
395.52,35.3,101.8,70.6,151,97.16,57.5,
396.48,35.3,101.8,65.7,151,97.14,57.5,
397.44,35.3,101.8,40.1,152,97.17,57.5,
398.4,35.3,101.8,67.8,152,97.12,57.5,
399.36,35.3,101.8,65.1,152,97.19,57.5,
400.32,35.3,101.8,40.0,153,97.15,57.5,
401.28,35.3,101.8,68.3,153,97.15,57.5,
402.24,35.3,101.8,65.4,152,97.15,57.5,
403.2,35.3,101.8,40.0,152,97.17,57.5,
404.16,35.3,101.8,65.2,152,97.16,57.5,
405.12,35.3,102.0,53.5,152,97.15,57.5,
406.08,35.3,102.0,40.0,152,97.18,57.5,
407.04,35.3,102.0,64.9,152,97.13,57.5,
408,35.3,102.0,40.0,152,97.17,57.5,
408.96,35.3,102.0,40.0,152,97.18,57.5,
409.92,35.3,102.0,40.0,151,97.16,57.5,
410.88,35.3,102.0,69.3,152,97.13,57.5,
411.84,35.3,102.0,71.9,152,97.17,57.5,
412.8,35.3,102.0,65.1,152,97.15,57.5,
413.76,35.3,102.0,70.0,152,97.19,57.5,
414.72,35.3,102.0,51.1,152,97.15,57.5,
415.68,35.3,102.0,40.0,152,97.15,57.5,
416.64,35.3,102.0,54.0,152,97.16,57.5,
417.6,35.3,102.0,60.9,152,97.16,57.5,
418.56,35.3,102.0,78.1,152,97.14,57.5,
419.52,35.3,102.2,43.5,152,97.16,57.5,
420.48,35.3,102.2,40.2,152,97.16,57.5,
421.44,35.3,102.2,56.8,153,97.16,57.4,
422.4,35.3,102.2,57.0,153,97.18,57.4,
423.36,35.3,102.2,40.0,153,97.16,57.4,
424.32,35.3,102.2,57.8,153,97.15,57.4,
425.28,35.3,102.2,63.9,153,97.15,57.4,
426.24,35.3,102.2,62.8,152,97.14,57.4,
427.2,35.3,102.2,56.0,153,97.16,57.4,
428.16,35.3,102.2,40.0,153,97.14,57.4,
429.12,35.3,102.2,40.1,153,97.19,57.4,
430.08,35.3,102.2,71.3,153,97.16,57.4,
431.04,35.3,102.2,65.1,153,97.15,57.4,
432,35.3,102.2,60.5,149,97.16,57.4,
432.96,35.3,102.2,71.7,131,97.17,57.4,
433.92,35.3,102.2,66.7,111,97.17,57.4,
434.88,35.3,102.2,78.3,103,97.14,57.4,
435.84,35.3,102.2,40.0,78,97.17,57.4,
436.8,35.3,102.2,68.7,77,97.15,57.4,
437.76,35.3,102.2,68.7,80,97.17,57.4,
438.72,35.3,102.4,61.5,78,97.17,57.4,
439.68,35.3,102.4,40.0,76,97.13,57.4,
440.64,35.3,102.4,64.8,76,97.16,57.4,
441.6,35.3,102.4,72.8,80,97.13,57.4,
442.56,35.3,102.4,58.6,79,97.16,57.4,
443.52,35.3,102.4,69.7,77,97.14,57.4,
444.48,35.3,102.4,73.8,74,97.15,57.4,
445.44,35.3,102.4,60.9,73,97.17,57.4,
446.4,35.3,102.4,77.0,72,97.14,57.4,
447.36,35.3,102.4,70.7,77,97.17,57.4,
448.32,35.3,102.4,77.5,78,97.15,57.4,
449.28,35.3,102.4,71.1,80,97.17,57.4,
450.24,35.3,102.4,50.9,83,97.15,57.4,
451.2,35.3,102.4,62.2,83,97.18,57.4,
452.16,35.3,102.4,69.0,81,97.14,57.4,
453.12,35.3,102.4,74.2,80,97.13,57.4,
454.08,35.3,102.4,73.2,80,97.12,57.4,
455.04,35.3,102.4,73.3,83,97.14,57.4,
456,35.3,102.6,54.1,80,97.16,57.4,
456.96,35.3,102.6,40.0,76,97.13,57.4,
457.92,35.3,102.6,44.0,75,97.19,57.4,
458.88,35.3,102.6,55.3,75,97.13,57.4,
459.84,35.3,102.6,54.9,76,97.15,57.4,
460.8,35.3,102.6,40.0,78,97.15,57.4,
461.76,35.3,102.6,40.0,79,97.17,57.3,
